Frequency      Real             Image
2.650e+010    -9.322700e-003    1.287091e-002 
2.657e+010    -9.262506e-003    1.291188e-002 
2.664e+010    -8.994543e-003    1.327457e-002 
2.670e+010    -9.129421e-003    1.370116e-002 
2.677e+010    -9.099962e-003    1.390771e-002 
2.684e+010    -8.902285e-003    1.410736e-002 
2.691e+010    -8.885108e-003    1.459619e-002 
2.697e+010    -9.087089e-003    1.488964e-002 
2.704e+010    -8.879958e-003    1.508035e-002 
2.711e+010    -8.819287e-003    1.568943e-002 
2.718e+010    -8.769566e-003    1.612672e-002 
2.724e+010    -8.722257e-003    1.638585e-002 
2.731e+010    -8.399570e-003    1.671969e-002 
2.738e+010    -8.440259e-003    1.731139e-002 
2.745e+010    -8.625335e-003    1.763786e-002 
2.751e+010    -8.361519e-003    1.792533e-002 
2.758e+010    -8.038879e-003    1.867996e-002 
2.765e+010    -8.366329e-003    1.911273e-002 
2.772e+010    -8.074751e-003    1.945800e-002 
2.778e+010    -7.620227e-003    2.012168e-002 
2.785e+010    -7.646136e-003    2.078202e-002 
2.792e+010    -7.493216e-003    2.110344e-002 
2.799e+010    -6.879655e-003    2.144118e-002 
2.805e+010    -6.758117e-003    2.223415e-002 
2.812e+010    -6.519676e-003    2.241773e-002 
2.819e+010    -6.574024e-003    2.277154e-002 
2.826e+010    -5.722143e-003    2.328849e-002 
2.832e+010    -6.075411e-003    2.422331e-002 
2.839e+010    -5.773911e-003    2.417691e-002 
2.846e+010    -5.182765e-003    2.495478e-002 
2.853e+010    -4.958952e-003    2.553429e-002 
2.859e+010    -4.941113e-003    2.602941e-002 
2.866e+010    -4.631600e-003    2.596307e-002 
2.873e+010    -4.120689e-003    2.710907e-002 
2.880e+010    -4.506072e-003    2.732371e-002 
2.886e+010    -4.072653e-003    2.792677e-002 
2.893e+010    -3.800321e-003    2.831156e-002 
2.900e+010    -3.330630e-003    2.958005e-002 
2.907e+010    -3.602090e-003    2.987775e-002 
2.913e+010    -2.618958e-003    3.067846e-002 
2.920e+010    -2.455400e-003    3.163640e-002 
2.927e+010    -2.182951e-003    3.218812e-002 
2.934e+010    -2.048266e-003    3.294150e-002 
2.940e+010    -8.466605e-004    3.388377e-002 
2.947e+010    -1.123932e-003    3.463885e-002 
2.954e+010    -2.171177e-004    3.529650e-002 
2.961e+010    -6.894206e-004    3.643650e-002 
2.967e+010    -9.473155e-004    3.796158e-002 
2.974e+010    -3.709717e-003    3.843534e-002 
2.981e+010    -4.898039e-003    4.136235e-002 
2.988e+010    -9.950976e-003    4.314841e-002 
2.994e+010    -8.953196e-003    4.378038e-002 
3.001e+010    -1.296281e-002    4.657343e-002 
3.008e+010    -1.182387e-002    5.038529e-002 
3.015e+010    -1.755010e-002    5.164974e-002 
3.021e+010    -1.391991e-002    5.174466e-002 
3.028e+010    -1.320505e-002    5.895752e-002 
3.035e+010    -1.350869e-002    5.595956e-002 
3.042e+010    -1.147320e-002    5.914093e-002 
3.048e+010    -7.009772e-003    5.768570e-002 
