NO.	 Vo(V) 	  I(uA)
1	  -50.0	 -320.0
2	  -49.8	 -320.1
3	  -49.6	 -320.6
4	  -49.4	 -319.8
5	  -49.2	 -319.8
6	  -49.0	 -319.6
7	  -48.8	 -319.1
8	  -48.6	 -318.8
9	  -48.4	 -318.1
10	  -48.2	 -318.1
11	  -48.0	 -317.4
12	  -47.8	 -317.3
13	  -47.6	 -316.9
14	  -47.4	 -316.5
15	  -47.2	 -316.6
16	  -47.0	 -315.9
17	  -46.8	 -315.9
18	  -46.6	 -314.9
19	  -46.4	 -314.8
20	  -46.2	 -314.0
21	  -46.0	 -313.6
22	  -45.8	 -313.5
23	  -45.6	 -312.9
24	  -45.4	 -312.9
25	  -45.2	 -312.8
26	  -45.0	 -312.2
27	  -44.8	 -312.2
28	  -44.6	 -311.2
29	  -44.4	 -310.9
30	  -44.2	 -310.8
31	  -44.0	 -310.7
32	  -43.8	 -310.3
33	  -43.6	 -309.9
34	  -43.4	 -309.2
35	  -43.2	 -309.0
36	  -43.0	 -308.0
37	  -42.8	 -307.8
38	  -42.6	 -307.3
39	  -42.4	 -307.0
40	  -42.2	 -306.7
41	  -42.0	 -306.6
42	  -41.8	 -306.3
43	  -41.6	 -305.6
44	  -41.4	 -305.4
45	  -41.2	 -304.1
46	  -41.0	 -304.3
47	  -40.8	 -303.6
48	  -40.6	 -303.4
49	  -40.4	 -303.7
50	  -40.2	 -302.9
51	  -40.0	 -303.0
52	  -39.8	 -302.5
53	  -39.6	 -302.2
54	  -39.4	 -302.0
55	  -39.2	 -301.4
56	  -39.0	 -300.7
57	  -38.8	 -300.4
58	  -38.6	 -300.3
59	  -38.4	 -300.0
60	  -38.2	 -299.4
61	  -38.0	 -299.6
62	  -37.8	 -298.9
63	  -37.6	 -298.3
64	  -37.4	 -297.6
65	  -37.2	 -297.3
66	  -37.0	 -297.0
67	  -36.8	 -296.2
68	  -36.6	 -295.8
69	  -36.4	 -295.6
70	  -36.2	 -294.9
71	  -36.0	 -294.7
72	  -35.8	 -293.7
73	  -35.6	 -293.6
74	  -35.4	 -292.6
75	  -35.2	 -292.6
76	  -35.0	 -292.7
77	  -34.8	 -292.5
78	  -34.6	 -292.6
79	  -34.4	 -291.8
80	  -34.2	 -291.5
81	  -34.0	 -291.2
82	  -33.8	 -290.7
83	  -33.6	 -290.7
84	  -33.4	 -290.2
85	  -33.2	 -290.2
86	  -33.0	 -289.7
87	  -32.8	 -289.1
88	  -32.6	 -288.1
89	  -32.4	 -287.3
90	  -32.2	 -286.9
91	  -32.0	 -287.0
92	  -31.8	 -286.5
93	  -31.6	 -286.5
94	  -31.4	 -286.3
95	  -31.2	 -285.9
96	  -31.0	 -285.2
97	  -30.8	 -284.0
98	  -30.6	 -284.2
99	  -30.4	 -283.6
100	  -30.2	 -283.3
101	  -30.0	 -282.4
102	  -29.8	 -281.4
103	  -29.6	 -280.5
104	  -29.4	 -279.8
105	  -29.2	 -280.0
106	  -29.0	 -278.9
107	  -28.8	 -278.3
108	  -28.6	 -277.8
109	  -28.4	 -276.6
110	  -28.2	 -276.0
111	  -28.0	 -275.5
112	  -27.8	 -274.7
113	  -27.6	 -274.4
114	  -27.4	 -273.4
115	  -27.2	 -272.9
116	  -27.0	 -272.0
117	  -26.8	 -271.4
118	  -26.6	 -271.3
119	  -26.4	 -271.0
120	  -26.2	 -270.2
121	  -26.0	 -269.6
122	  -25.8	 -268.6
123	  -25.6	 -267.6
