NO.	 Vo(V) 	  I(uA)
1	  220.0	 -244.4
2	  220.2	 -174.7
3	  220.4	 -159.5
4	  220.6	 -136.9
5	  220.8	 -121.7
6	  221.0	 -111.5
7	  221.2	 -104.5
8	  221.4	  -99.7
9	  221.6	  -97.8
10	  221.8	  -95.1
11	  222.0	  -93.2
12	  222.2	  -91.8
13	  222.4	  -91.2
14	  222.6	  -90.0
15	  222.8	  -89.4
16	  223.0	  -88.9
17	  223.2	  -88.7
18	  223.4	  -88.3
19	  223.6	  -88.2
20	  223.8	  -87.9
21	  224.0	  -87.7
22	  224.2	  -87.5
23	  224.4	  -87.3
24	  224.6	  -87.1
25	  224.8	  -86.8
26	  225.0	  -86.6
27	  225.2	  -86.5
28	  225.4	  -86.3
29	  225.6	  -86.2
30	  225.8	  -86.1
31	  226.0	  -86.0
32	  226.2	  -85.8
33	  226.4	  -85.7
34	  226.6	  -85.5
35	  226.8	  -85.5
36	  227.0	  -85.4
37	  227.2	  -85.2
38	  227.4	  -85.1
39	  227.6	  -84.9
40	  227.8	  -84.9
41	  228.0	  -84.8
42	  228.2	  -84.7
43	  228.4	  -84.6
44	  228.6	  -84.4
45	  228.8	  -84.3
46	  229.0	  -84.2
47	  229.2	  -84.1
48	  229.4	  -83.9
49	  229.6	  -83.8
50	  229.8	  -83.6
51	  230.0	  -83.7
52	  230.2	  -83.6
53	  230.4	  -83.4
54	  230.6	  -83.3
55	  230.8	  -83.3
56	  231.0	  -83.1
57	  231.2	  -83.0
58	  231.4	  -82.8
59	  231.6	  -82.7
60	  231.8	  -82.6
61	  232.0	  -82.5
62	  232.2	  -82.0
63	  232.4	  -81.7
64	  232.6	  -81.4
65	  232.8	  -81.3
66	  233.0	  -81.2
67	  233.2	  -81.0
68	  233.4	  -80.8
69	  233.6	  -80.7
70	  233.8	  -80.5
71	  234.0	  -80.3
72	  234.2	  -80.3
73	  234.4	  -80.2
74	  234.6	  -79.9
75	  234.8	  -79.9
76	  235.0	  -79.7
77	  235.2	  -79.5
78	  235.4	  -79.4
79	  235.6	  -79.3
80	  235.8	  -79.2
81	  236.0	  -79.0
82	  236.2	  -78.9
83	  236.4	  -78.8
84	  236.6	  -78.7
85	  236.8	  -78.5
86	  237.0	  -78.3
87	  237.2	  -78.1
88	  237.4	  -78.0
89	  237.6	  -77.8
90	  237.8	  -77.6
91	  238.0	  -77.6
92	  238.2	  -77.4
93	  238.4	  -77.1
94	  238.6	  -77.0
95	  238.8	  -77.0
96	  239.0	  -76.6
97	  239.2	  -76.5
98	  239.4	  -76.2
99	  239.6	  -76.1
100	  239.8	  -75.9
101	  240.0	  -75.7
102	  240.2	  -75.5
103	  240.4	  -75.3
104	  240.6	  -75.1
105	  240.8	  -74.9
106	  241.0	  -74.7
107	  241.2	  -74.5
108	  241.4	  -74.2
109	  241.6	  -73.9
110	  241.8	  -73.6
111	  242.0	  -73.3
112	  242.2	  -73.1
113	  242.4	  -72.9
114	  242.6	  -72.4
115	  242.8	  -72.3
116	  243.0	  -71.8
117	  243.2	  -71.6
118	  243.4	  -71.3
119	  243.6	  -71.0
120	  243.8	  -70.7
121	  244.0	  -70.4
122	  244.2	  -70.2
123	  244.4	  -69.8
124	  244.6	  -69.3
125	  244.8	  -68.8
126	  245.0	  -68.2
127	  245.2	  -67.4
128	  245.4	  -66.6
129	  245.6	  -65.6
130	  245.8	  -64.4
131	  246.0	  -63.9
132	  246.2	  -62.3
133	  246.4	  -60.6
134	  246.6	  -58.4
135	  246.8	  -56.5
136	  247.0	  -55.4
137	  247.2	  -52.4
138	  247.4	  -49.2
139	  247.6	  -45.6
140	  247.8	  -42.1
141	  248.0	  -38.0
142	  248.2	  -34.0
143	  248.4	  -29.1
144	  248.6	  -23.7
145	  248.8	  -16.9
146	  249.0	  -10.5
147	  249.2	   -6.7
148	  249.4	   -2.0
149	  249.6	   11.8
150	  249.8	   21.5
151	  250.0	   27.1
152	  250.2	   42.9
153	  250.4	   47.6
154	  250.6	   61.1
155	  250.8	   62.6
156	  251.0	   63.9
157	  251.2	   61.4
158	  251.4	   64.3
159	  251.6	   71.2
160	  251.8	   82.5
161	  252.0	   88.5
162	  252.2	  103.9
163	  252.4	  119.8
164	  252.6	  139.1
165	  252.8	  149.3
166	  253.0	  180.2
167	  253.2	  190.7
168	  253.4	  225.3
169	  253.6	  236.5
170	  253.8	  272.3
171	  254.0	  285.2
172	  254.2	  310.9
173	  254.4	  339.3
174	  254.6	  365.9
175	  254.8	  398.1
176	  255.0	  413.4
177	  255.2	  445.0
178	  255.4	  474.9
179	  255.6	  508.1
180	  255.8	  541.8
181	  256.0	  560.7
182	  256.2	  612.2
